Title	Abstract
The effects of improving sleep on mental health (OASIS): a randomised controlled trial with mediation analysis	Background  Sleep difficulties might be a contributory causal factor in the occurrence of mental health problems. If this is true, improving sleep should benefit psychological health. We aimed to determine whether treating insomnia leads to a reduction in paranoia and hallucinations.    Methods  We did this single-blind, randomised controlled trial (OASIS) at 26 UK universities. University students with insomnia were randomly assigned (1:1) with simple randomisation to receive digital cognitive behavioural therapy (CBT) for insomnia or usual care, and the research team were masked to the treatment. Online assessments took place at weeks 0, 3, 10 (end of therapy), and 22. The primary outcome measures were for insomnia, paranoia, and hallucinatory experiences. We did intention-to-treat analyses. The trial is registered with the ISRCTN registry, number ISRCTN61272251.    Findings  Between March 5, 2015, and Feb 17, 2016, we randomly assigned 3755 participants to receive digital CBT for insomnia (n=1891) or usual practice (n=1864). Compared with usual practice, the sleep intervention at 10 weeks reduced insomnia (adjusted difference 4·78, 95% CI 4·29 to 5·26, Cohen's d=1·11; p<0·0001), paranoia (−2·22, −2·98 to −1·45, Cohen's d=0·19; p<0·0001), and hallucinations (−1·58, −1·98 to −1·18, Cohen's d=0·24; p<0·0001). Insomnia was a mediator of change in paranoia and hallucinations. No adverse events were reported.    Interpretation  To our knowledge, this is the largest randomised controlled trial of a psychological intervention for a mental health problem. It provides strong evidence that insomnia is a causal factor in the occurrence of psychotic experiences and other mental health problems. Whether the results generalise beyond a student population requires testing. The treatment of disrupted sleep might require a higher priority in mental health provision.
The Self-care Approach to Healthcare	The article examines the role of self-care within the healthcare services industry. It emphasises the broad scope of self-care and some of the factors which are causing governments and healthcare services providers to encourage increasing levels of self-care. Specific forms of self-care are illustrated. Some of the approaches available to healthcare services providers for facilitating self-care are discussed.
Identifying Risk Factors for Incautious Use of Non-Prescription Drugs Among Higher Education Institutions' Students in Emirates	Objective: The aim of this research is to identify risk factors for incautious use of oral non-prescription drugs (ONPD) and inform recommendations that promote cautious ONPD use among HEI students in the UAE. Methods: A cross-sectional survey-based study was conducted with 2875 students in three randomly selected UAE universities between January and April 2014. Results: More than half (1348; 57) of participants reported using of ONPD in the past 90 days before study commencement. Of 1348 participants reported using ONPD, one-quarter (1348; 22.2) of ONPD was classified as incautious ONPD usage. Analgesic/antipyretic (84.9), non-steroidal anti-inflammatory drugs (NSAIDs) (1028; 76.3), and cough and cold drugs (562; 41.7) were reported by the majority of participants as the most commonly used ONPD. 10 risk factors were identified for incautious ONPD use. Participants with age group of 21 years and older (OR=0.554, 95; CI=0.373-0.823; p<0.001), female (OR=0.339, 95; CI=0.236-0.486; p<0.001), and students from medical schools (OR=0.619, 95; CI=0.435-0.882; p=0.008) had lower odds of being incautious users compared to lower age group, males, and students from non-medical schools. Furthermore, participants with a polypharmacy behavior had higher odds of being irresponsible ONPD user than monopharmacy users (OR=1.400, 95; CI=1.030- 1.02; p<0.001). Conclusion: One of five students is an incautious ONPD user. There is a need for an educational and behavioral intervention to motivate students to be cautious users. Â© 2017 The Authors.
Sleep Loss as a Trigger of Mood Episodes in Bipolar Disorder: Individual Differences Based on Diagnostic Subtype and Gender	Background: Sleep loss may trigger mood episodes in people with bipolar disorder (BD) but individual differences could influence vulnerability to this trigger.    Aims: To determine whether bipolar subtype (BD-I or BD-II) and gender were associated with vulnerability to the sleep loss trigger.    Method: During a semi-structured interview, 3140 individuals (68% female) with BD (66% BD-I) reported whether sleep loss had triggered episodes of high or low mood. DSM-IV diagnosis of bipolar subtype was derived from case note and interview data.    Results: Sleep loss triggering episodes of high mood was associated with female gender (OR = 1.43, 95% CI 1.17-1.75, P <.001) and BD-I subtype (OR = 2.81, 95% CI 2.26-3.50, P <.001). Analyses on sleep loss triggering low mood were not significant following adjustment for confounders.     Conclusions: Gender and bipolar subtype may increase vulnerability to high mood following sleep deprivation. This should be considered in situations where patients encounter sleep disruption, such as shift-work and international travel.
Modelled and Observed Surface Soil Pollen Deposition Distance Curves for Isolated Trees of Carpinus Betulus, Cedrus Atlantica,  Juglans nigra and Platanus Acerifolia	Source–distance relationships for pollen deposited directly into surface soil have been rarely undertaken, particularly for a single or isolated source, rather than a forest, grove or plantation. This study aimed to determine surface soil pollen deposition patterns from single, isolated source trees and to compare the results to Gaussian model curves for the same trees. Four isolated tree pollen sources were chosen in Worcester, UK: Carpinus betulus, Cedrus atlantica, Juglans nigra and Platanus acerifolia. Surface soil samples were collected at 1, 5 and thenevery 10 m, up to 100 m distance from the main trunk of each source along the prevailing wind direction  during flowering. A Gaussian dispersion model was used to estimate source strength using tree height and width and wind speeds on days when flowering was occurring and when the wind direction flowed along the sampling transect. This model simulated the expected concentration and deposition along the sampling transect. Modelled and observed results showed that most pollen was deposited beneath the canopy (range 63–94%) in an exponentially decreasing curve and the tailing off started from around the outer edge of the canopy in most cases. The amount of  pollen deposited at 50 m was no more than 2.6% of total deposition in the samples for any tree and at 100 m no more than 0.2%. Tree height, width and wind speed during the pollination period were found to be the main parameters affecting deposition away from the source.
Source Regions of Ragweed Pollen Arriving in South – Western Poland and the Influence of Meteorological Data on the HYSPLIT Model Results	We have investigated the relationship between the inflow of air masses and the ragweed pollen concentration in SW Poland (Wrocław) for a 10-year period of 2005-2014. The HYSPLIT trajectory model was used to verify if episodes of high concentrations can be related to regions outside of the main known ragweed centres in Europe, like Pannonian Plain, northern Italy and Ukraine. Furthermore, we used two different meteorological data sets (the global GDAS data set and from the WRF mesoscale model; the meteorological parameters were: U and V wind components, temperature and relative humidity) into HYSPLIT to evaluate the influence of meteorological input on calculated trajectories for high concentration ragweed episodes. The results show that the episodes of high pollen concentration (above 20 pm-3) represent a great part of total recorded ragweed pollen in Wrocław, but occur rarely and not in all years. High pollen episodes are connected with air masses coming from south and south-west Europe, which confirms the existence of expected ragweed centres but showed that other centres near Wrocław are not present. The HYSPLIT simulations with two different meteorological inputs indicated that footprint studies on ragweed benefit from a higher resolution meteorological data sets.
Recommended Terminology for Aerobiological Studies	Aerobiology is an interdisciplinary science where researchers with different backgrounds are involved in different topics related to microorganism, airborne biological particles, e.g. pollen and spores, and phenology. Some concepts, words or expressions used in aerobiology have a clear definition, but are however frequently misused. Therefore, the working group “Quality Control” of the European Aerobiology Society (EAS) and the International Association of Aerobiology (IAA) would like to clarify some of them, their use and presentation.
Play in Middle Childhood: Everyday Play Behaviour and Associated Emotions	Children’s reports about their play in middle childhood and the emotions they associate with play have received limited research attention. Using focus groups, this study asked 38 children in the UK about what, where and with whom they played. They were also asked how play made them feel. Children reported a wide range of play behaviours, with outdoor and traditional games being just as prominently mentioned as play with electronic devices. The emotional importance of play in middle childhood was apparent, with children associating play with strong positive emotions, and not being able to play with negative emotions and anxiety.
The Worldwide Spread, Success, and Impact of Ragweed (Ambrosia spp.)	ABSTRACTThe Ambrosia species represent one of the most problematic groups of invasive weeds around the world. The ease with which they are introduced and spread in new countries, their generalist ecological requirements, and functional traits facilitate their invasion and subsequent naturalization in new areas. All of these aspects contribute to increasing their global social and economic impact, which is mostly related to pollen allergy. Here we analyze available scientific publications about Ambrosia artemisiifolia, A. psilostachya, A. tenuifolia, and A. trifida, with the aim of defining the current level of knowledge and summarizing important data that are currently scattered throughout the literature. Specifically, we analyzed the following: (1) their current global distribution and current stage of invasion; (2) traits and requirements promoting their introduction, reproductive success, and adaptation to climate and environment in the nonnative range; as well as (3) current knowledge about allergens and elements increasing their impact.
Are Estimates of Wind Characteristics Based on Measurements with Pitot Tubes and GNSS Receivers Mounted on Consumer-grade Unmanned Aerial Vehicles Applicable in Meteorological Studies?	The objective of this paper is to empirically show that estimates of wind speed and wind direction based on measurements carried out using the Pitot tubes and GNSS receivers,  mounted on consumer-grade unmanned aerial vehicles (UAVs), may accurately approximate true wind parameters. The motivation for the study is that a growing number of commercial and scientific UAV operations may soon become a new source of data on wind speed and wind direction, with unprecedented spatial and temporal resolution. The feasibility study was carried out within an isolated mountain meadow of Polana Izerska located in the Izera Mountains (SW Poland) during an experiment which aimed to compare wind characteristics measured by several instruments: three UAVs (swinglet CAM, eBee, Maja) equipped with the Pitot tubes and GNSS receivers, wind speed and direction meters mounted at 2.5 m and 10 m (mast), conventional weather station and vertical sodar. The three UAVs performed seven missions along spiral-like trajectories, most reaching 130 m above take-off location. The estimates of wind speed and wind direction were found to agree between UAVs. The time series of wind speed measured at 10 m were extrapolated to flight altitudes recorded at a given time so that a comparison was made feasible. It was found that the wind speed estimates provided by the UAVs on a basis of the Pitot tube/GNSS data are in agreement with measurements carried out using dedicated meteorological instruments. The discrepancies were recorded in the first and last phases of UAV flights.
Effects of Wind Speed and Direction on Monthly Fluctuations of Cladosporium Conidia Concentration in the Air	This study determined the relationship between airborne concentration of Cladosporium spp. spores and wind speed and direction using real data (local wind measured by weather station) and modelled data (air mass flow computed with the aid of HYbrid Single Particle Lagrangian Trajectory model). Air samples containing fungal conidia were taken at an urban site (Worcester, UK) for a period of five consecutive years using a spore trap of the Hirst design. A threshold of ≥6000 s m−3 (double the clinical value) was applied in order to select high spore concentration days, when airborne transport of conidia at a regional scale was more likely to occur. Collected data were then examined using geospatial and statistical tools, including circular statistics. Obtained results showed that the greatest numbers of spore concentrations were detected in July and August, when C. herbarum, C. cladosporioides and C. macrocarpum sporulate. The circular correlation test was found to be more sensitive than Spearman’s rank test. The dominance of either local wind or the air mass on Cladosporium spore distributions varied between examined months. Source areas of this pathogen had an origin within the UK territory. Very high daily mean concentrations of Cladosporium spores were observed when daily mean local wind speed was vs ≤ 2.5 m s−1 indicating warm days with a light breeze.
Delusional Ideation, Cognitive Processes and Crime Based Reasoning	Probabilistic reasoning biases have been widely associated with levels of delusional belief ideation (Galbraith, Manktelow & Morris, 2011; Lincoln, Ziegler, Mehl, & Rief, 2010; Speechley, Whitman, & Woodward, 2009; White & Mansell, 2009), however, little research has focused on biases occurring during every day reasoning (Galbraith, Manktelow & Morris, 2011), and moral and crime based reasoning (Wilkinson, Jones & Caulfield, 2011; Wilkinson, Caulfield & Jones, 2014). 235 participants were recruited across four experiments exploring crime based reasoning through different modalities and dual processing tasks. Study one explored delusional ideation when completing a visually presented crime based reasoning task.  Study two explored the same task in an auditory presentation. Study three utilised a dual task paradigm to explore modality and executive functioning. Study four extended this paradigm to the auditory modality. The results indicated that modality and delusional ideation have a significant effect on individuals reasoning about violent and non-violent crime (p<0.05), which could have implication for the presentation of evidence in applied setting such as the courtroom.
A New Functional Method to Choose the Target Lobe for Lung Volume Reduction in Emphysema - Comparison with the Conventional Densitometric Method	Lung volume reduction (LVR) improves breathing mechanics by reducing hyperinflation. Lobar selection usually focuses on choosing the most destroyed emphysematous lobes as seen on an inspiratory CT scan. However, it has never been shown to what extent these densitometric CT parameters predict the least deflation of an individual lobe during expiration. The addition of expiratory CT analysis allows measurement of the extent of lobar air trapping and could therefore provide additional functional information for choice of potential treatment targets.To determine lobar vital capacity/lobar total capacity (LVC/LTC) as a functional parameter for lobar air trapping using on an inspiratory and expiratory CT scan. To compare lobar selection by LVC/LTC with the established morphological CT density parameters.36 patients referred for endoscopic LVR were studied. LVC/LTC, defined as delta volume over maximum volume of a lobe, was calculated using inspiratory and expiratory CT scans. The CT morphological parameters of mean lung density (MLD), low attenuation volume (LAV), and 15th percentile of Hounsfield units (15%P) were determined on an inspiratory CT scan for each lobe. We compared and correlated LVC/LTC with MLD, LAV, and 15%P.There was a weak correlation between the functional parameter LVC/LTC and all inspiratory densitometric parameters. Target lobe selection using lowest lobar deflation (lowest LVC/LTC) correlated with target lobe selection based on lowest MLD in 18 patients (50.0%), with the highest LAV in 13 patients (36.1%), and with the lowest 15%P in 12 patients (33.3%).CT-based measurement of deflation (LVC/LTC) as a functional parameter correlates weakly with all densitometric CT parameters on a lobar level. Therefore, morphological criteria based on inspiratory CT densitometry partially reflect the deflation of particular lung lobes, and may be of limited value as a sole predictor for target lobe selection in LVR.
Cognitive Behavioral Therapy vs. Eye Movement Desensitization and Reprocessing for Treating Panic Disorder: A Randomized Controlled Trial	Objective: Cognitive Behavioral Therapy (CBT) is an effective intervention for patients with panic disorder (PD). From a theoretical perspective, Eye Movement Desensitization and Reprocessing (EMDR) therapy could also be useful in the treatment of PD because: (1) panic attacks can be experienced as life threatening; (2) panic memories specific to PD resemble traumatic memories as seen in posttraumatic stress disorder (PTSD); and (3) PD often develops following a distressing life event. The primary objective of this Randomized Controlled Trial (RCT), was to compare EMDR therapy with CBT for PD and determine whether EMDR is not worse than CBT in reducing panic symptoms and improving Quality Of Life (QOL). Methods: Two-arm (CBT and EMDR) parallel RCT in patients with PD (N = 84). Patients were measured at baseline (T1), directly after the last therapy session (T2), and 3 months after ending therapy (T3). Non-inferiority testing (linear mixed model with intention-to-treat analysis) was applied. Patients were randomly assigned to 13 weekly 60-min sessions of CBT (N = 42) or EMDR therapy (N = 42). Standard protocols were used. The primary outcome measure was severity of PD at T3, as measured with the Agoraphobic Cognitions Questionnaire (ACQ), the Body Sensations Questionnaire (BSQ), and the Mobility Inventory (MI). The secondary outcome measure was QOL, as measured with the World Health Organization Quality of Life short version (WHOQOL-Bref), at T3. Results: The severity of PD variables ACQ and BSQ showed non-inferiority of EMDR to CBT, while MI was inconclusive (adjusted analyses). Overall QOL and general health, Psychological health, Social relationships, and Environment showed non-inferiority of EMDR to CBT, while Physical health was inconclusive. Conclusion: EMDR therapy proved to be as effective as CBT for treating PD patients. Trial Registration: Dutch Trial Register, Nr. 3134 http://www.trialregister.nl/trialreg/admin/rctview.asp?TC=3134.
The Role of PTSD in Bi-directional Intimate Partner Violence in Military and Veteran Populations: a Research Review	Evidence supporting the higher prevalence of PTSD linked to combat-related trauma in military personnel and veteran populations is well-established. Consequently, much research has explored the effects that combat related trauma and the subsequent PTSD may have on different aspects of relationship functioning and adjustment. In particular, PTSD in military and veterans has been linked with perpetrating intimate partner violence (IPV).  New research and theoretical perspectives suggest that in order to respond effectively to IPV, a more accurate understanding of the direction of the violence experienced within each relationship is critical. In both civilian and military populations, research that has examined the direction of IPV’s, bi-directional violence have been found to be highly prevalent. Evidence is also emerging  as to how these bi-directional violence differ in relation to severity, motivation, physical and psychological consequences and risk factors. Of particular importance within military IPV research is the need to deepen understanding about the role of PTSD in bi-directional IPV not only as a risk factor for perpetration but also as a vulnerability risk factor for victimization, as findings  from recent research suggest.  This paper provides a timely, critical review of emergent literature to disentangle what is known about bi-directional IPV patterns in military and veteran populations and the roles that military or veterans’ PTSD may play within these patterns. Although this review aimed to identify global research on the topic, the majority of research meeting the inclusion criteria was from US, with only one study identified from outside, from Canada. Strengths and limitations in the extant research are identified. Directions for future research are proposed with a particular focus on the kinds of instruments and designs needed to better capture the complex interplay of PTSD and bi-directional IPV in military populations and further the development of effective interventions.
The Impact of Cross Cultural Communication on Collective Efficacy in NCAA Basketball Teams	This research contributes to the knowledge and theory on cross cultural communication by investigating the impact of cross cultural communication competence on the collective efficacy of multicultural National Collegiate Athletic Association basketball teams. Data was collected from 140 U.S. National Collegiate Athletic Association basketball coaches via the Cross Cultural Communication Competence Questionnaire and the Collective Efficacy Questionnaire for Sports. Principle component analysis was conducted on the data, revealing that the cross cultural communication competence and collective efficacy of basketball teams are multidimensional.  The hypothesized relationship between cross cultural communication competence and collective efficacy was confirmed and statistically measured through regression analysis. It was found that four of the cross cultural communication competence dimensions produced by the principle component analysis exhibited a significant positive relationship with one of the two dimensions within collective efficacy. Given the well-supported relationship between collective efficacy and team performance in business, this study produces important implications for scholars and practitioners working with multicultural sporting teams.
The iPad Project: Introducing iPads into Care Homes in the UK to Support Digital Inclusion	There are an estimated 5,153 nursing homes and 12,525 residential homes in the UK with around 426,000 residents of whom 80% have some form of dementia or memory problem. Only 38% of staff working in residential and domiciliary  services say they use technology in direct work with residents. Objectives The objectives of this study were to (i) explore the experiences and potential benefits and barriers of iPad use in 63 care homes for residents with dementia, their family/friends and care staff; (ii) develop recommendations based on different ways in which iPads can be used in care settings and what needs to be in place to support their successful introduction and usages. Method A mixed methods approach based on data from staff interviews and a self-administered questionnaire, resident case studies, family interviews and observation of activity sessions. Results The main findings were: (i) iPads provided a flexible and adaptable means of engaging residents, their relatives and staff in both one-to-one and  group sessions; (ii) iPads offered a new means to increase social interaction and resident engagement. Conclusion Systematic incremental implementation of the use of iPads in  a care home can help promote digital inclusion for both residents and staff and participation by family members.
Rudimentary Lexicon Based Method for Sarcasm Detection	The purpose of this paper is to establish if rudimentary methods can be used for classifying text as being sarcastic using data taken from the social media website, Twitter. Data collection for this study was carried out using text extracted from Twitter. It applies string matching against positive sentiment and interjection lexicons to test if the presence of both can be used to classify content as being sarcastic.   The result shows that the most frequently used terms are too generic to be suitable for a sarcasm specific lexicon. It further shows that Boolean matches to two lexicons are suitable for classification of text as being sarcastic.  This is significant as many methods require significant time in collecting and analysing the data to be used within the classification process, as well as complex algorithms to conduct the task. By using simplistic processes, it is hoped that some of the challenges related to performance are overcome. Additionally, this study is the precursor to planned further research into sarcasm detection methods.
Private Military and Security Labour Migration: the Case of Fiji	Private military and security companies (PMSCs) are a fast-growing global industry. While the rise of PMSCs and their activities have attracted much media coverage and growing scholarly attention, little is known about their sourcing of masses of military labour from the global South. This exploratory study examines the case of Fiji, whose thousands of ex/current disciplinary force personnel and unemployed men have been contracted by PMSCs to provide security work in Iraq and other high-conflict areas. The article shows this to be an instance of unequal core-periphery military labour trade, outlining its scale, processes and impacts on the migrants. It also illuminates how the migrants’ collective agency is demonstrated even under powerful structural constraints.
Scholarly Commentary: Prioritising Practice Education through Collaborations	The critical importance of practice education in occupational therapy to graduate outcomes and preparedness for practice is well recognised (Doherty, Stagnitti, & Schoo, 2009; Gray et al., 2012; Holmes et al., 2010) being referred to as the bridge between academic education and occupational  therapy practice (Roberts, Hooper, Wood, & King, 2015). It is also the foundation on which graduates make career choices and develop as professional occupational therapists. Recognition of the importance of practice education is evidenced through a growing international collection of  published research into both innovative models and the pedagogy of practice education (Roberts et al., 2015).
Invited Commentary - Nursing Values: Divided We Stand	Invited commentary on Sally Thorne's recent Nursing Inquiry editorial For what do we stand?  Thorne, S. (2017). Editorial: For what do we stand? Nursing Inquiry, 24(2), 1–2.
Ethnographic Chats: A ‘Best of Both’ Method for Ethnography	Conventionally, ethnographic methods aim to discover how language works as ‘situated  social practice and how it is tied to social organisation’ (Heller 2011: 10). Within this,  ethnography has viewed participant observation as central and essential. More recently  ethnographers have moved to combine this with more structured, researcher-facilitated  question-based tools such as ethnographic interviews (Spradley 1979) and focus groups. This  article reports on a creative method, aiming to bring together the strengths of both these  approaches to access school-age young people’s orientations to language education policies.  There were three main motivations: firstly to minimise the distracting influence of the  researcher’s presence; and to aid in empowering participants, encouraging them into an active  role in the research process; and to avoid favorability bias in participant responses. On the  latter point, to truly value the voice of participants you have to find creative ways to move  beyond the ‘right answer’. This often requires pushing methodological boundaries in new or  creative ways. Building on prior approaches I developed a new protocol, ‘ethnographic  chats’, which I found offered the ‘best of both’: a compromise between the immersive depth  of participant observation and the greater thematic focus of focus groups or ethnographic  interviews. The method was characterised by specific procedural and interactional  characteristics of frame and genre, which differentiate it from ethnographic interview and  focus group methods in specific ways. Rich data emerged from this process, which would not  otherwise have been available. I conclude by outlining the potential for ethnographic chats in  other social and geographical contexts.  Ethnography
Subaerial Gravel Size Measurement Using Topographic Data Derived From a UAV-SfM Approach	Fluvial grain size plays a fundamental role in determining the condition and availability of aquatic habitats. Remote sensing provides rapid and objective methods of quantifying fluvial grain size, and typically provide coarse grain size outputs (c. 1m) at the catchment scale (up to 80km channel lengths) or fine resolution outputs (c. 1mm) at the patch scale (c. 1m2). Recently, drone based approaches have started to fill the gap between these scales, providing hyperspatial resolution data (<10cm) over reaches up to a few hundred metres in length. This ‘mesoscale’ is of importance to habitat assessments and is aligned with the ideals of the ‘Riverscape’ concept. Most drone based grain size measurement approaches use textural variables computed from drone orthoimagery. To date however, no published works provide quantitative evidence of the success of this approach, despite significant differences in platform stability and the image quality obtained by manned aircraft versus drones. With interest in drone surveys growing rapidly, such error quantification is essential for making reliable, evidence-based recommendations about the suitability of drones for routine management of fluvial environments. Here we provide an initial assessment of the accuracy and precision of grain size estimates produced using two different drone-based methods; (1) the image textural variable ‘negative entropy’, and; (2) the roughness of point clouds derived from drone imagery processed using structure from motion photogrammetry. Data is collected from a small gravel-bed river in Cumbria, UK. Results from jack knife analyses show that the point cloud roughness method gives more accurate and precise measures of grain size at this site, as indicated by the mean (0.0002m) and standard deviation (0.0184m) of residual errors. However, both methods struggle to provide grain size measures with sub-centimetre precision. We suggest that blur within the drone imagery prevents better precision, resulting from an inadequate camera gimbal.
Enriching the Historiography of Religious Education: Insights from Oral Life History	This article seeks to exemplify the extent to which oral life history research can enrich existing historiographies of English Religious Education (RE). Findings are reported from interviews undertaken with a sample of key informants involved in designing and/or implementing significant curriculum changes in RE in the 1960s and 1970s. The interviews provided insights into personal narratives and biographies that have been marginal to, or excluded from, the historical record. Thematic analysis of the oral life histories opened a window into the world of RE, specifically in relation to professional identity and practice, curriculum development, and professional organizations, thereby exposing the operational dynamics of RE at an (inter-)personal and organizational level. The findings are framed by a series of methodological reflections. Overall, oral life histories are shown to be capable of revealing that which was previously hidden and which can be confirmed and contrasted with knowledge gleaned from primary documentary sources.
How Play Provision Enhances the Lives of Children in Refugee Camps	This is the third in a series of editorials written by   Alison Prowle and Janet Harvell from   the Centre for Early Childhood, University of Worcester, UK, on their experiences in the   Dunkirk Refugee Camp in France. (Sadly, the camp burned down in April.) The authors   explore how children in camps are being encouraged to play and through this, how they   are developing resilience, learning new skills, making friends and enjoying a respite from   the harsh realities of their lives.
Introduction: Home Fronts, Gender War and Conflict	Introduction to special edition of Womens History Review special edition on Gender War and Conflict
Drones and Digital Photogrammetry: From Classifications to Continuums for Monitoring River Habitat and Hydromorphology	Recently, we have gained the opportunity to obtain very high-resolution imagery  and topographic data of rivers using drones and novel digital photogrammetric  processing techniques. The high-resolution outputs from this method are  unprecedented, and provide the opportunity to move beyond river habitat classification  systems, and work directly with spatially explicit continuums of data.  Traditionally, classification systems have formed the backbone of physical river  habitat monitoring for their ease of use, rapidity, cost efficiency, and direct comparability.  Yet such classifications fail to characterize the detailed heterogeneity  of habitat, especially those features which are small or marginal. Drones and  digital photogrammetry now provide an alternative approach for monitoring  river habitat and hydromorphology, which we review here using two case studies.  First, we demonstrate the classification of river habitat using drone imagery  acquired in 2012 of a 120 m section of the San Pedro River in Chile, which was at  the technological limits of what could be achieved at that time. Second, we  review how continuums of data can be acquired, using drone imagery acquired  in 2016 from the River Teme in Herefordshire, England. We investigate the precision  and accuracy of these data continuums, highlight key current challenges,  and review current best practices of data collection, processing, and management.  We encourage further quantitative testing and field applications. If current  difficulties can be overcome, these continuums of geomorphic and hydraulic  information hold great potential for providing new opportunities for understanding  river systems to the benefit of both river science and management.
Virtual Reality Exposure Therapy for Treatment of Dental Phobia	Virtual Reality Exposure Therapy (VRET) has gained in popularity as an effective treatment for anxiety disorders. The purpose of this article is to determine the applicability of VRET in the treatment of dental phobia of two patients. Two case examples of female dental patients, aged 56 and 24 years, who met the criteria for dental phobia according to the Phobia Checklist, illustrate the use of VRET in the dental setting. VRET that is used as a psychological treatment for dental fear and dental phobia can potentially be given by a non-specialist (for example dental assistant), thereby making it a cost-effective therapy for the treatment of dental phobia. CPD/Clinical Relevance: This article is the first of its kind to demonstrate Virtual Reality Exposure Therapy (VRET) in the treatment of dental anxiety.
Genome-wide Association Study of Borderline Personality Disorder Reveals Genetic Overlap with Bipolar Disorder, Major Depression and Schizophrenia	Borderline personality disorder (BOR) is determined by environmental and genetic factors, and characterized by affective instability and impulsivity, diagnostic symptoms also observed in manic phases of bipolar disorder (BIP). Up to 20% of BIP patients show comorbidity with BOR. This report describes the first case–control genome-wide association study (GWAS) of BOR, performed in one of the largest BOR patient samples worldwide. The focus of our analysis was (i) to detect genes and gene sets involved in BOR and (ii) to investigate the genetic overlap with BIP. As there is considerable genetic overlap between BIP, major depression (MDD) and schizophrenia (SCZ) and a high comorbidity of BOR and MDD, we also analyzed the genetic overlap of BOR with SCZ and MDD. GWAS, gene-based tests and gene-set analyses were performed in 998 BOR patients and 1545 controls. Linkage disequilibrium score regression was used to detect the genetic overlap between BOR and these disorders. Single marker analysis revealed no significant association after correction for multiple testing. Gene-based analysis yielded two significant genes: DPYD (P=4.42 × 10−7) and PKP4 (P=8.67 × 10−7); and gene-set analysis yielded a significant finding for exocytosis (GO:0006887, PFDR=0.019; FDR, false discovery rate). Prior studies have implicated DPYD, PKP4 and exocytosis in BIP and SCZ. The most notable finding of the present study was the genetic overlap of BOR with BIP (rg=0.28 [P=2.99 × 10−3]), SCZ (rg=0.34 [P=4.37 × 10−5]) and MDD (rg=0.57 [P=1.04 × 10−3]). We believe our study is the first to demonstrate that BOR overlaps with BIP, MDD and SCZ on the genetic level. Whether this is confined to transdiagnostic clinical symptoms should be examined in future studies.
'It's Just More Acceptable to Be White or Mixed Race and Gay Than Black and Gay': The Perceptions and Experiences of Homophobia in St. Lucia	Lesbian, gay and bisexual (LGB) individuals come from diverse cultural groups with differing ethnic and racial identities. However, most research on LGB people uses white western samples and studies of Afro-Caribbean diaspora often use Jamaican samples. Thus, the complexity of Afro-Caribbean LGB peoples’ experiences of homophobia is largely unknown. The authors’ analyses explore experiences of homophobia among LGB people in St. Lucia. Findings indicate issues of skin-shade orientated tolerance, regionalized disparities in levels of tolerance towards LGB people and regionalized passing (regionalized sexual identity shifting). Finally, the authors’ findings indicate that skin shade identities and regional location influence the psychological health outcomes of homophobia experienced by LGB people in St. Lucia.
Parenting with PTSD: A Review of Research on the Influence of PTSD on Parent-child Functioning in Military and Veteran Families	Posttraumatic stress disorder (PTSD) is strongly associated with exposure to war related trauma in military and veteran populations. In growing recognition that PTSD may influence and be influenced by social support and family systems, research has begun to explore the effects that war related trauma and the ensuing PTSD may have on varied aspects of close relationship and family functioning. Far less research, however, has examined the influence of war-related PTSD on parent-child functioning in this population. This paper provides a timely review of emergent literature to examine the impacts that PTSD may have on parenting behaviors and children’s outcomes with a focus on studies of military and veterans of international conflicts since post-9/11. The review sheds light on the pathways through which PTSD may impact parent-child relationships, and proposes the cognitive-behavioral interpersonal theory of PTSD as a theoretical formulation and extends this to parenting/children. The review identifies the strengths and limitations in the extant research and proposes directions for future research and methodological practice to better capture the complex interplay of PTSD and parenting in military and veteran families.
Roles of Dicer-Like Proteins 2 and 4 in Intra- and Intercellular Antiviral Silencing	RNA silencing is an innate antiviral mechanism conserved in organisms across kingdoms. Such cellular defense involves DICER or DICER-LIKEs (DCLs) that process viral RNAs into small interfering (vsi)RNAs. Plants encode four DCLs which play diverse roles in cell-autonomous virus-induced RNA silencing (known as VIGS) against viral invasion. However, intracellular VIGS can spread between cells, and the genetic basis and involvement of vsiRNAs in non-cell autonomous VIGS remains poorly understood. Here using GFP as a reporter gene together with a suite of DCL RNAi transgenic lines, we show that in addition to well-established activities of DCLs in intracellular VIGS and vsiRNA biogenesis, DCL4 inhibits intercellular VIGS whilst DCL2 is required, likely along with DCL2-processed/dependent vsiRNAs and their precursor RNAs, for efficient VIGS trafficking from epidermal to adjacent cells. DCL4 imposed an epistatic effect on DCL2 to impede cell-to-cell spread of VIGS. Our results demonstrate previously unknown functions for DCL2 and DCL4 which may form a dual defensive frontier for intra- and intercellular silencing to double-protect cells from virus infection in Nicotiana benthamiana.
Outcomes-based Commissioning for Social Care in Extra Care Housing: is There a Future?	This paper outlines the recent history of strategic and operational commissioning in England  followed by a section on outcomes-based commissioning and its relevance for the planning and  delivery of care and support to residents in extra care housing.
