Title	Abstract	Keywords
Pollen-monitoring: Between Analyst Proficiency Testing	This study presents the results of a Europe-wide training and Quality Control (QC) exercise carried out within the framework of the European Aerobiology Society’s QC Working Group and European COST Action FA1203 entitled “sustainable management of Ambrosia artemisiifolia in Europe (SMARTER)” with the aim of ensuring that pollen counters in Europe are confident in the identification of Ambrosia pollen grains. A total of 69 analysts from 20 countries examined a test slide by light microscopy, which contained Ambrosia pollen and pollen from other Asteraceae that could be recorded in the atmosphere at the same time of year (i.e. Artemisia, Iva, and Xanthium). Daily average pollen concentrations produced by individual participants were compared with the assigned value and the bias was measured by z-score. Both the assigned value and standard deviation for proficiency testing were calculated following the consensus value principle (ISO13528:2005) from the results reported by all the participants in the test. It took a total of 531 days from when the exercise commenced until all 69 analysts reported their results. The most outliers were reported for Artemisia pollen concentrations followed by Xanthium and Iva. The poor results for Artemisia and Xanthium were probably caused by low concentrations on the test slide leading to larger bias due to the unequal distribution of pollen over the microscope slide. Participants performed the best in identifying and quantifying Ambrosia pollen. Performing inter-laboratory ring tests with the same sample is very time consuming and might not be appropriate for large-scale proficiency testing in aerobiology. Pollen with similar morphology should be included in the education process of aerobiologists.	sustainable
Spatial and Temporal Variations in Airborne Ambrosia Pollen in Europe	Aim: The European Commission Cooperation in Science and Technology (COST) Action FA1203 “SMARTER” aims to make recommendations for the sustainable management of Ambrosia across Europe and for monitoring its efficiency and cost effectiveness. The goal of the present study is to provide a baseline for spatial and temporal variations in airborne Ambrosia pollen in Europe that can be used for the management and evaluation of this noxious plant .  Location: The full range of Ambrosia artemisiifolia L. distribution over Europe (39oN-60oN; 2oW-45oE).  Methods: Airborne Ambrosia pollen data for the principal flowering period of Ambrosia (August-September) recorded during a 10-year period (2004-2013) were obtained from 242 monitoring sites. The mean sum of daily average airborne Ambrosia pollen and the number of days that Ambrosia pollen was recorded in the air were analysed. The mean and Standard Deviation (SD) were calculated regardless of the number of years included in the study period, while trends are based on those time series with 8 or more years of data. Trends were considered significant at p < 0.05.  Results: There were few significant trends in the magnitude and frequency of atmospheric Ambrosia pollen (only 8% for the mean sum of daily average Ambrosia pollen concentrations and 14% for the mean number of days Ambrosia pollen was recorded in the air).   Main conclusions: The direction of any trends varied locally and reflect changes in sources of the pollen, either in size or in distance from the monitoring station. Pollen monitoring is important for providing an early warning of the expansion of this invasive and noxious plant.	sustainable
Mindfulness and the Quality of Romantic Relationships: Is it All About Well-Being?	Studies have shown that mindfulness is positively associated with a number of individual factors related to well-being, attention and awareness, and life satisfaction. Mindfulness has also been shown to be positively associated with the  perceived quality of romantic relationships. However, the factors underlying the connection between mindfulness and relationship quality are not well understood. A study is reported in which the connection between mindfulness and perceived relationship quality was investigated when individual life satisfaction was controlled for. The results suggest that individual life satisfaction partially mediates the association between mindfulness and relationship quality  but that other factors also contribute to that association. Possible additional mediating factors and ideas for possible future studies that could throw light on this connection are discussed.	well-being
Women and Lancashire Conservatism Between the Wars	The activism of women Conservatives helped Tory democracy to adapt and survive in inter-war Lancashire at a time when it was under strain due to the arrival of Labour as a significant electoral force. This article utilises the surviving records of the party in Lancashire to examine the various ways that women entered, navigated, justified and expanded their membership and function in inter-war Conservatism. It acknowledges the limits on women's advancement and influence, but it also highlights how some women made significant progress in rising through the party structures, and how women's branches facilitated this political mobility. It challenges the assumption that women Conservatives were preoccupied with sociability and discussing domestic issues, and reveals their contribution to the electoral success of the party at local level, and interaction with Lancashire's distinct tradition of Conservatism.	women
Investigating Sources of Measured Forest-atmosphere Ammonia Fluxes Using Two-layer Bi-directional Modelling	Understanding and predicting the ammonia (NH3) exchange between the biosphere and the atmosphere is important due to the environmental consequences of the presence of reactive nitrogen (Nr) in the environment. The dynamics of the natural sources are, however, not well understood, especially not for forest ecosystems due to the complex nature of this soil-vegetation-atmosphere system. Furthermore, the high reactivity of NH3 makes it technically complex and expensive to measure and understand the forest-atmospheric NH3 exchange. The aim of this study is to investigate the NH3 flux partitioning between the ground layer, cuticle and stomata compartments for two temperate deciduous forest ecosystems located in Midwestern, USA (MMSF) and in Denmark (DK-Sor). This study is based on measurements and simulations of the surface energy balance,  fluxes of CO2 and NH3 during two contrasted periods of the forest ecosystems, a period with full developed canopy (MMSF) and a senescent period for the DK-Sor site, with leaf fall and leaf litter build-up. Both datasets indicate emissions of NH3 from the forest to the atmosphere. The two-layer NH3 compensation point model SURFATM-NH3 was used in combination with a coupled photosynthesis-stomatal conductance model to represent seasonal variation in canopy physiological activity for simulating both net ecosystem CO2 exchange rates (R2 = 0.77 for MMSF and R2 = 0.84 for DK-Sor) and atmospheric NH3  fluxes (R2 = 0.43 for MMSF and R2 = 0.60 for DK-Sor). A scaling of the ground layer NH3 emission potential (Гg) was successfully applied using the plant area index (PAI) to represent the build-up of a litter layer in the leaf fall period. For a closed green forest canopy (MMSF), unaffected by agricultural NH3 sources, NH3 was emitted with daytime fluxes up to 50 ng NH3-N m-2 s-1 and nighttime fluxes up to 30 ng NH3-N m-2 s-1. For a senescing forest (DK-Sor), located in an agricultural region, deposition rates of 250 ng NH3-N m-2 s-1 were measured prior to leaf fall, and emission rates up to 670 ng NH3-N m-2 s-1 were measured following leaf fall. For MMSF, simulated stomatal NH3 emissions explain the daytime flux observations well, and it is hypothesized that cuticular desorption is responsible for the observed NH3 emissions at night.  During leaf fall in DK-Sor, ground fluxes dominate the NH3 flux with a mean emission rate of 150 ng NH3-N m-2 s-1. This study shows that forests potentially comprise a natural source of NH3 to the atmosphere, and that it is crucial to take into account the bi-directional exchange processes related to both the stomatal, cuticular and ground layer pathways in order to realistically simulate forest–atmosphere fluxes of NH3.	ecosystems,energy
Return to Hanging Rock: Lost Children in a Gothic Landscape	Using the philosophical position of phenomenology this article examines the ways in which ideas of wildness combine with Australian Gothic tropes such as the white colonial lost child and the bush as a haunted locale to compose key features of an Australian Ecogothic. Joan Lindsay’s enigmatic novel Picnic at Hanging Rock (1967) has prompted scholars such as Lesley Kathryn Hawkes to describe how in Australian literature for both adults and children ‘the environment is far more than a setting or backdrop against which the plot takes place’ (Hawkes, 2011,67). On St Valentine’s Day in 1900 three young Australian girls and their teacher disappear from a school picnic at the ancient site of Mount Macedon in Victoria. The analysis, which focuses on Lindsay’s posthumously published chapter eighteen (1987) examines how elements of the material, sensing world combine with the mythological or sacred to connect the human protagonists with the gothic landscape they inhabit. The resulting intersubjectivity problematizes colonial ideology and unsettles notions of national identity.   Using the philosophical position of phenomenology this article examines the ways in which ideas of wildness combine with Australian Gothic tropes such as the white colonial lost child and the bush as a haunted locale to compose key features of an Australian Ecogothic. Joan Lindsay’s enigmatic novel Picnic at Hanging Rock (1967) has prompted scholars such as Lesley Kathryn Hawkes to describe how in Australian literature for both adults and children ‘the environment is far more than a setting or backdrop against which the plot takes place’ (Hawkes, 2011,67). On St Valentine’s Day in 1900 three young Australian girls and their teacher disappear from a school picnic at the ancient site of Mount Macedon in Victoria. The analysis, which focuses on Lindsay’s posthumously published chapter eighteen (1987) examines how elements of the material, sensing world combine with the mythological or sacred to connect the human protagonists with the gothic landscape they inhabit. The resulting intersubjectivity problematizes colonial ideology and unsettles notions of national identity.	girls
Creative and Credible Evaluation for Arts, Health and Well-being: Opportunities and Challenges of Co-production	Background: This paper reports findings from a one-year UK  knowledge exchange (KE) project completed in 2015. Stakeholders’  experiences of evaluation were explored in order to develop online  resources to strengthen knowledge and capacity within the arts and  health sector (www.creativeandcredible.co.uk).  Methods: The project used mixed methods, including a survey,  interviews and focus groups, guided by a Stakeholder Reference  Group comprised of 26 leading UK evaluators, researchers, artists,  health professionals, commissioners and funders.  Results: The project identified opportunities for arts arising from  current health and social care policy agendas. It also identified  challenges including the lack of agreed evaluation frameworks and  difficulties in evaluation practice.  Conclusions: Co-production between stakeholders is needed to  strengthen evaluation practice and support the development of the  arts and health sector. Effective co-production can be undermined  by structural and cultural barriers as well as unequal stakeholder  relationships. The paper discusses recent initiatives designed to  support best practice.	well-being
Position Choice and Swimming Costs of Juvenile  Atlantic Salmon Salmo Salar in Turbulent Flow	Swimming costs (SCs) for fish have been shown to be affected by turbulence. However, this idea has not yet been implemented in habitat models, which often represent hydraulics using water velocity averaged over time and space. In this study, we analysed the habitat selection of individual juvenile Atlantic salmon Salmo salar (L. 1758) in relation to predicted SC in the turbulent flow of a large outdoor flume. We used a previously published SC model parameterized using mean velocity, turbulence intensity, water temperature and fish mass. Results showed that 86% of fish chose locations with significantly lower predicted SC than expected at random. Position choice was negatively related to predicted SC, mean velocity, spatial velocity gradient, and Reynolds stresses. Based on the findings, a novel habitat  suitability curve is recommended for juvenile Atlantic salmon. The results are expected to contribute towards the improvement of bioenergetics modelling to increase our understanding of the impacts of environmental changes and management activities.	water
The Development of Inclusive Learning Relationships  in Mainstream Settings: A Multimodal Perspective	The debate regarding the inclusion of children with Special Educational Needs and Disabilities (SEND) in mainstream education in the UK partly revolves around what makes the classroom environment inclusive. Through the potential  offered by the specific qualitative methodologies employed, this study aimed to explore the development of teachers’ pedagogical practices and learning relationships upon the inclusive education of children with special educational needs and disabilities in two primary school classes. The study considered the views and behaviours of primary school pupils with and without special educational needs, primary school teachers and teaching assistants (TAs) in one mainstream school. Drawing on a multimodal approach to discourse analysis to account for the complex relationships  between symbolic and non-verbal modes of classroom signification, the study explored how meaning is produced in classrooms and children’s modes of communication,  as well as in teachers’ practices. The two classes are compared on the basis of teaching observations, interviews, transcripts of dialogues, and analyses of classroom organisation and decoration. This paper suggests that the greatest influence on the educational and social outcomes of students with special educational needs is the behaviour and practices of the classroom teacher.	inclusive education
'Seen but not Heard'. Practitioners Work with Poverty and the Organising Out of Disadvantaged Children's Voices and Participation in the Early Years	Living in poverty disadvantages young children reducing school readiness. ‘Pedagogy of listening’ can potentially support resilience remediating against poverty’s negative effects. Little, though, is known about how early childhood education and care (ECEC) practitioners work with children in poverty and the attainment gap between such children and their peers remains significant within England and the US. This article reports research using a mixed methodology which explored these issues in localities across both these countries. We argue a dominant technocratic model of early years provision in these contexts creates normalisation and diversity reduction. This, and austerity measures, stymie pedagogical space and practice organising out listening to children in poverty. We suggest this may help explain why the attainment gap remains so stubbornly resistant to reduction across these countries.	poverty
Factors Associated with Desistance from Violence in Prison: An Exploratory Study	Desistance from crime has been of increasing interest within criminal justice literature, but desistance from offending behaviour whilst in custodial environments has not yet been investigated. Violence within prison establishments continues to be a significant problem, therefore this study investigated the factors that are associated with desistance from custodial violence in 63 UK Category C adult male prisoners with a record of violence in prison. Participants completed measures of eight social and subjective factors associated with desistance in community samples. Those who had desisted from prison violence for 12 months or more showed greater levels of pro-social attitudes, agency and resilience than those who persisted in violence. Agency independently predicted desistance and this was particularly the case for younger offenders. Internal shifts appeared to be supported by a positive work environment. It is concluded that in custody an internal shift in perspective is especially important for desistance, and that this can be supported by the social environment. Opportunities to intervene may be greater in younger prisoners. It is recommended that current initiatives in developing agency and positive social interaction, such as Psychologically Informed Planned Environments, are further developed.	justice
A New Approach to Measuring Moral Virtues: The Multi-Component Gratitude Measure	Empirical explorations of moral virtues have increased dramatically recently. This paper introduces a new method of assessing moral virtue using gratitude as an example; a virtue that continues to be a topic of great interest in psychology, philosophy and education. We argue, and demonstrate empirically, that to comprehensively examine a moral virtue, it is necessary to explore its cognitive, affective, attitudinal (including motivational), and behavioural aspects. We have created the 'Multi-Component Gratitude Measure' (MCGM) comprised of four components, each designed to assess a distinct dimension of the virtue of gratitude: (a) conceptions (or understandings) of gratitude; (b) grateful emotions; (c) attitudes towards gratitude; and (d) gratitude-related behaviours. In contrast to existing measures, the MCGM aims to comprehensively examine the major components that constitute this complex moral construct. In two studies we illustrate the value of assessing these four components of gratitude and how individuals can differ in the number and ‘type’ of components they exemplify. Importantly, we demonstrate how well-being increases linearly with the number of components a person possesses, as measured by three distinct measures of well-being. We discuss individual differences in gratitude experience and what this means for personal flourishing as well as future measurement of moral constructs.	well-being
A Computer Model of Drafting Effects on Collective Behavior in Elite 10,000 m Runners	Purpose  Drafting in cycling influences collective behaviour of pelotons. Whilst evidence for collective behaviour in competitive running events exists, it is not clear if this results from energetic savings conferred by drafting. This study modelled the effects of drafting on behavior in elite 10,000 m runners.  Methods  Using performance data from a men’s elite 10,000 m track running event, computer simulations were constructed using Netlogo 5.1 to test the effects of three different drafting quantities on collective behaviour: no drafting, drafting to 3m behind with up to ~8% energy savings (a realistic running draft); and drafting up to 3m behind with up to 38% energy savings (a realistic cycling draft). Three measures of collective behaviour were analysed in each condition; mean speed, mean group stretch (distance between first and last placed runner), and Runner Convergence Ratio (RCR) which represents the degree of drafting benefit obtained by the follower in a pair of coupled runners.  Results  Mean speeds were 6.32±0.28m.s-1, 5.57±0.18 m.s-1, and 5.51±0.13 m.s-1 in the cycling draft, runner draft, and no draft conditions respectively (all P<0.001). RCR was lower in the cycling draft condition, but did not differ between the other two. Mean stretch did not differ between conditions.  Conclusions  Collective behaviours observed in running events cannot be fully explained through energetic savings conferred by realistic drafting benefits. They may therefore result from other, possibly psychological, processes. The benefits or otherwise of engaging in such behavior are, as yet, unclear.	energy
Dietary Advice Provided to Those Undergoing Pelvic Radiotherapy	In those receiving radiotherapy for pelvic cancers, up to 80% develop gastrointestinal symptoms, with dietary interventions recommended to reduce these symptoms. However, research outlining the current dietary support provided to patients undergoing radiotherapy for pelvic cancer is lacking.    To identify the gastrointestinal symptoms experienced by those undergoing pelvic radiotherapy and to identify the dietary support provided to these patients.    A service evaluation was undertaken in one NHS Trust hospital whereby patients undergoing radical pelvic radiotherapy during a 15-week recruitment period were invited to complete an anonymous questionnaire. Participants were recruited using purposive sampling and the data were analysed descriptively using SPSS.    In total, 31 patients responded achieving a response rate of 48%. The most frequent reported gastrointestinal symptoms were gas and flatulence followed by diarrhoea, nausea and abdominal pain. The main dietary changes implemented by the respondents and recommended by health care professionals included reducing fibre intake, reducing certain vegetables, reducing caffeine and increasing water.    The results illustrate the impact of gastrointestinal side effects on patients’ dietary intake. The results highlight that nutritional guidance need to be standardised, especially for the management of diarrhoea and gas and flatulence as these were the most common occurring side effects. With radiographers most frequently giving nutritional advice they must be provided with guidance to support those undergoing pelvic radiotherapy.	water
Urban Ponds as an Aquatic Biodiversity Resource in Modified Landscapes	Urbanization is a global process contributing to the loss and fragmentation of natural habitats. Many studies have focused on the biological response of terrestrial taxa and habitats to urbanization. However, little is known regarding the consequences of urbanization on freshwater habitats, especially small lentic systems. In this study we examined aquatic macroinvertebrate diversity (family and species level) and variation in community composition between 240 urban and 782 non-urban ponds distributed across the UK. Contrary to predictions, urban ponds supported similar numbers of invertebrate species and families compared to non-urban ponds. Similar gamma diversity was found between the two groups at both family and species taxonomic levels. The biological communities of urban ponds were markedly different to those of non-urban ponds and the variability in urban pond community composition was greater than that in non-urban ponds, contrary to previous work showing homogenisation of communities in urban areas. Positive spatial autocorrelation was recorded for urban and non-urban ponds at 0-50 km (distance between pond study sites) and negative spatial autocorrelation was observed at 100-150 km, and was stronger in urban ponds in both cases. Ponds do not follow the same ecological patterns as terrestrial and lotic habitats (reduced taxonomic richness) in urban environments; in contrast they support high taxonomic richness and contribute significantly to regional faunal diversity. Individual cities are complex structural mosaics which evolve over long periods of time and are managed in diverse ways, promoting the development of a wide-range of environmental conditions and habitat niches in urban ponds which can promote greater heterogeneity between pond communities at larger scales. Ponds provide an opportunity for managers and environmental regulators to conserve and enhance freshwater biodiversity in urbanized landscapes whilst also facilitating key ecosystem services including storm water storage and water treatment.	cities,water
Social Workers, Service Users and Austerity – A Common Cause	In January 2016, the International  Federation of Social Workers hosted a  Solidarity Symposium on social work and  austerity, which BASW members attended  along with a number of European colleagues.  A statement was agreed, which said:  “Austerity is a flawed economic theory that  increases debt burden, unemployment,  homelessness, inequality and causes misery  upon the lives of citizens.”  Social workers know how short-sighted  cuts to preventive services are, as they can  put intolerable pressure on people who then  end up needing far more expensive provision.  Reclaiming advocacy as an essential social work role is needed for our service user and carer voices to be heard  inside as well as outside our agencies. As well  as giving a voice to service users and carers  we work with individually, we can form  alliances on an organisational level to combat the effects of austerity on the most vulnerable in our society.	inequality
Mapping the Birch and Grass Pollen Seasons in the UK Using Satellite Sensor Time-series	Grass and birch pollen are two major causes of seasonal allergic rhinitis (hay fever) in the UK and parts of Europe affecting around 15-20% of the population. Current prediction of these allergens in the UK is based on (i) measurements of pollen concentrations at a limited number of monitoring stations across the country and (ii) general information about the phenological status of the vegetation. Thus, the current prediction methodology provides information at a coarse spatial resolution only. Most station-based approaches take into account only local observations of flowering, while only a small number of approaches take into account remote observations of land surface phenology. The systematic gathering of detailed information about vegetation status nationwide would therefore be of great potential utility. In particular, there exists an opportunity to use remote sensing to estimate phenological variables that are related to the flowering phenophase and, thus, pollen release. In turn, these estimates can be used to predict pollen release at a fine spatial resolution. In this study, time-series of MERIS Terrestrial Chlorophyll Index (MTCI) data were used to predict two key phenological variables: the start of season and peak of season. A technique was then developed to estimate the flowering phenophase of birch and grass from the MTCI time-series. For birch, the timing of flowering was defined as the time after the start of the growing season when the MTCI value reached 25% of the maximum. Similarly, for grass this was defined as the time when the MTCI value reached 75% of the maximum. The predicted pollen release dates were validated with data from nine pollen monitoring stations in the UK. For both birch and grass, we obtained large positive correlations between the MTCI-derived start of pollen season and the start of the pollen season defined using station data, with a slightly larger correlation observed for birch than for grass. The technique was applied to produce detailed maps for the flowering of birch and grass across the UK for each of the years from 2003 to 2010. The results demonstrate that the remote sensing-based maps of onset flowering of birch and grass for the UK together with the pollen forecast from the Meteorology Office and National Pollen and Aerobiology Research Unit (NPARU) can potentially provide more accurate information to pollen allergy sufferers in the UK.	land
Embedding Employability in Non-vocational Undergraduate Courses: A Reflection on Practice Across the Institute of Health and Society at the University of Worcester	Employability can be defined simply as the character or quality of being employable (Hillage & Pollard, 1998). For students, undertaking a higher education degree is largely framed in terms of becoming more employable (McCowan, 2015) and, as a result, preferring courses that enable them to develop transferrable knowledge and skills which will increase their competitiveness in the labour market (Gosling, 2009). The concept of employability therefore continues to be highly relevant in a higher education context, for both students in work and those seeking work (McQuaid & Lindsay, 2005). Indeed, universities have an important responsibility to ensure their undergraduate courses have relevance to the employment market (Pothigai Selvan, 2013). The range of skills students develop in higher education is diverse, depending on their course and experience of work during study. Critical thinking, problem solving, research and analytical skills, interpersonal awareness, communication, self-reflection, time management, team working, and autonomy are key examples of skills developed during university and are highly attractive to a wide range of employers (Reddy, Lantz & Hulme, 2013). Given the importance of employability to students and prospective employers alike, it is imperative that careful consideration is given as to how to effectively embed employability across undergraduate courses. In light of this, this article aims to explore the ways in which employability is currently integrated across non-vocational disciplines within the Institute of Health and Society at University of Worcester, with a focus on key examples of practice drawn from Applied Criminology, Applied Health and Social Sciences and Psychology.	employment
The Multiple Impact of Peer Mentoring Within Criminal Justice Settings to Mentees, Mentors and to the Wider Community	An article considering the potential for triple benefits of peer mentoring approach with convicted individuals in the community. Benefits to mentee, mentor and to the community in terms of a broader understanding and acceptance of offending individuals who return to the community post sentence.	justice
Diagnostic Tests and their Application in the Management of Soil- and Water-borne Oomycete Pathogen Species	Oomycete diseases cause significant losses across a broad range of crop and aquaculture commodities worldwide. These losses can be greatly reduced by disease management practices steered by accurate and early diagnoses of pathogen presence. Determinations of disease potential can help guide optimal crop rotation regimes, varietal selections, targeted control measures, harvest timings and crop post-harvest handling. Pathogen detection prior to infection can also reduce the incidence of disease epidemics.  Classical methods for the isolation of oomycete pathogens are normally deployed only after disease symptom appearance. These processes are often-time consuming, relying on culturing the putative pathogen(s) and the availability of expert taxonomic skills for accurate identification; a situation that frequently results in either delayed application, or routine ‘blanket’ over-application of control measures. Increasing concerns about pesticides in the environment and the food chain, removal or restriction of their usage combined with rising costs have focussed interest in the development and improvement of disease management systems. To be effective, these require timely, accurate and preferably quantitatve diagnoses.  A wide range of rapid diagnostic tools, from point of care immunodiagnostic kits to next generation nucleotide sequencing have potential application in oomycete disease management.  Here we review currently-available as well as promising new technologies in the context of commercial agricultural production systems, considering the impacts of specific biotic and abiotic and other important factors such as speed and ease of access to information and cost effectiveness	water
Representing, Remembering and Rewriting Women’s Histories of the First World War	As Dan Todman has persuasively argued, in the British popular imagination the First World War is associated with mud, barbed wire, the trenches and the Tommy on the Western Front.  Perhaps inevitably, therefore, public commemoration of the war has often been dominated by a focus on the men in the armed forces, who risked or lost their lives for causes that at the time may or may not have seemed heroic, noble or simply unavoidable. The visual spectacle of Paul Cummins’ ‘Blood Swept Lands and Seas of Red’, the art installation at the Tower of London in which 888,246 ceramic poppies filled the moat from 17 July to 11 November 2014, was the most visited artistic response to the war in its centenary years, while Jeremy Deller’s ‘We’re Here Because We’re Here’, commemorating the first day of the Battle of the Somme, provided a widely seen and moving memorial to the victims.22. ‘We’re here because we’re here’ marked the centenary of the first day of the Battle of the Somme. Hundreds of volunteers, working with the artist Jeremy Deller, Birmingham Repertory Theatre, the National Theatre and 1914–18 NOW, commemorated the centenary by re-enacting as soldiers in cities, towns and the countryside around Britain. First World War soldiers were seen at train stations, shopping centres, beaches, car parks and high streets.   This vision of the conflict, focusing exclusively on the combatant dead, should not, however, become the only history of the conflict. There are, as the research brought together here demonstrates, multiple histories of the First World War.	cities,seas,women
Every Night the Universe Passes over Santiago. Transnational ‘Ecocinema’ and Visualising Environmental Histories in Patricio Guzmán’s Nostalgia for the Light	This paper tests the capacity of media and popular culture to articulate complex ecological ideas, carrying out an analysis of Patricio Guzmán’s 2010 documentary Nostalgia de la luz [Nostalgia for the Light]. Through applying and developing arguments involved in the study of “ecocinema”, including the concept of “flow”, the paper also considers the possibility that texts situated within a transnational media industry might articulate localized perspectives on place, nature, and people, able to resonate with a global audience. The film is set in the Atacama desert, a location which brings together cosmologists, palaeontologists, archaeologists, women searching for traces of the “disappeared”, and men who were imprisoned in the desert’s Chacabuco concentration camp – also the site of late 19th / early 20th century nitrate mining. According to Guzmán, these people are united by a common purpose: their ongoing attempt to uncover the stories of the past, from the origins of the universe to more recent social and political narratives. Through this emphasis on memory, the paper argues, Guzmán develops a radical form of nostalgia which reveals the desert’s significance not only to Chilean history but also its connection to the matter of the cosmos and to flows of global capital, a connection which implicates the film’s global audience both ecologically and socio-politically. Thus, the paper makes a case for the ecological significance of the film both in terms of the relationship it establishes between deep environmental and planetary history and a recent human history embedded in modernity, and its ability to foster a form of transnational eco-cosmopolitanism.	women
Malnutrition and Nutritional Support in Alcoholic Liver Disease: a Review	Malnutrition is associated with alcoholic liver disease (ALD) and related complications such as hepatic encephalopathy and increased rate of infections. Avoidance of prolonged fasting and overly restrictive diets is important to avoid poor nutrition. Adequate intake of calories, protein, and micronutrients via frequent small meals and evening supplements and/or enteral and parenteral nutrition when indicated has been associated with reduced mortality and morbidity in patients with ALD. Modification of protein/fat sources and composition in addition to probiotic supplementation are promising interventions for decreased progression of ALD and its complications.	nutrition
Investigation of the Impact of ‘Fouling Out’ on Teams’ Performance in Elite Basketball	This study examined the impact of ‘fouling out’ on basketball team’s performance. A sample of 237 instances of ‘fouling-out’ were examined from 362 elite basketball games (group and knockout games from the 2010 to 2012 men’s and women’s Olympic Games, European and World Championships). Variables scrutinized were: score-line, quality of opposition, time-out situation, competition stage, minutes remaining, freethrows conceded, and player status. Two linear regression models were used to analyze the temporal effects of fouling out on both the team with the offending player and the opposition. The results indicated that both teams (the ‘fouling’ team and the opposition) demonstrated similar positive scoring performances post ‘foul-out’ during in the short-term (short term effect). However, post foul-out did impact negatively on the fouling team’s scoring process in the mid-term (mid-term effect). The quality of opposition variable was significant in all the analyses with negative effects for the fouling team and positive effects for the opposition. The final outcome highlighted a positive effect for the score-line (when the foul out was committed), the quality of the opposition, the competition stage, and for the time-out called by the fouling team. The results outlined implications for the coaching process such as methods for improving coaching strategies and game management of on-court players.	women
Are Career Termination Concerns Only for Athletes? A Case Study of the Career Termination of an Elite Female Coach	This paper presents a case study of an elite female coach and her career termination from a 20+ year career following a critical life incident. A novel autobiographical approach was adopted whereby the participant undertook expressive writing to describe her experiences prior to, during, and following coaching an athlete at the 2012 Summer Olympic Games. Thematic analysis indicated seven phases related to the participant’s experiences of the critical incident: Build up to the event, the event, the aftermath, recovery and reflection on the event, sampling of new avenues, enlightenment, and career re-birth. The findings reinforce the high demands placed upon elite coaches, the subsequent threats to physical and mental well-being, and the importance of having robust psychological skills and suitable social support to cope with these demands. Implications for preparing and supporting coaches for successful career transition are discussed.	well-being
Becoming a Kinship Carer – Education and Support Needs of Grandparents Who Are Parenting	Grandparent kinship carers have been found to have poor well-being and are often anxious about providing the best parenting support. This research worked with a group of grandparent kinship carers to discover their parenting needs with the aim of proposing parenting support. Using mixed methods the study found that a support system which addressed the specific needs of the children and the kinship carers, for example financial advice as well as coping with the children's complex behaviour, was preferred.  A patchwork approach where individual groups of kinship carers could commission bespoke provision was proposed as being a preferable option.	well-being
Refugee Entrepreneurship: A Conceptualisation of Key Business Decisions	The various conflicts around the world meant that 2015 has seen the highest refugee figures since World War Two. While some refugees need government support, others are determined to lead an independent life through self-employment (Betts, Bloom and Weaver, 2015; Dijkhuizen and Berkhout 2015; UNHCR 2015). However, we know very little about the economic lives of refugees (Betts, Bloom, Kaplan and Omata 2014), let alone their entrepreneurial activity.	employment
Adverse Childhood Life Events and Postpartum Psychosis  in Bipolar Disorder	Background  Women with bipolar disorder are at increased risk of postpartum psychosis. Adverse childhood life events have been associated with depression in the postpartum period, but have been little studied in relation to postpartum psychosis. In this study we investigated whether adverse childhood life events are associated with postpartum psychosis in a large sample of women with bipolar I disorder.     Methods  Participants were 432 parous women with DSM-IV bipolar I disorder recruited into the Bipolar Disorder Research Network (www.BDRN.org). Diagnoses and lifetime psychopathology, including perinatal episodes, were obtained via a semi-structured interview (Schedules for Clinical Assessment in Neuropsychiatry; Wing et al., 1990) and case-notes. Adverse childhood life events were assessed via self-report and case-notes, and compared between women with postpartum psychosis (n=208) and those without a lifetime history of perinatal mood episodes (n=224).    Results  There was no significant difference in the rate of any adverse childhood life event, including childhood sexual abuse, or in the total number of adverse childhood life events between women who experienced postpartum psychosis and those without a lifetime history of perinatal mood episodes, even after controlling for demographic and clinical differences between the groups.     Limitations  Adverse childhood life events were assessed in adulthood and therefore may be subject to recall errors.    Conclusions  We found no evidence for an association between adverse childhood life events and the occurrence of postpartum psychosis.  Our data suggest that, unlike postpartum depression, childhood adversity does not play a significant role in the triggering of postpartum psychosis in women with bipolar disorder.	women
